round_index,round_hour,event_headline,event_narrative,stock_price,stock_price_num,percent_change,percent_change_num,market_sentiment,trending_hashtags,media_events,social_state,external_actor_actions,social_manager_alerts,agents_unavailable,critical_deadlines,news,communication_count
11,2046-05-31T09:00:00,SaltWind Piece #1 drops — data broker partnerships exposed,"Pre-crisis Day 11 (2046-05-31, Thursday). SaltWind Journal publishes Piece #1: 'TenantThread's Data Broker Partnerships Raise Questions About Tenant Privacy.' Not front-page but signals a reporter has a source inside TenantThread. Platform Trust goes on immediate defensive. In Shadow: 'This is the beginning of the story getting out.'",$33.40,33.40,-2.3%,-2.3,negative,#TenantPrivacy,SaltWind Journal: 'TenantThread's Data Broker Partnerships Raise Questions About Tenant Privacy',Industry chatter intensifying. @PropTechWatcher posts analysis thread.,SaltWind reporter has internal source | @PropTechWatcher covering the story,SaltWind article generating social engagement,,,First external press coverage of TenantThread practices,31
12,2046-06-01T09:00:00,Damage control; ResidentIQ attacks; 'No Plan B' speech,"Pre-crisis Day 12 (2046-06-01, Friday). Damage control mode. PR team issues careful non-denial of SaltWind piece. ResidentIQ publicly posts 'privacy-first is not a feature, it's the floor' — gets 4,200 retweets. In Shadow: 'We need this merger to close before this gets any worse.' Ajay sends evening DM: 'No Plan B.'",$32.60,32.60,-2.4%,-2.4,negative,#TenantPrivacy | #PrivacyFirst,,"ResidentIQ 'privacy-first' campaign gaining momentum (4,200 RT). Competitor capitalizing.","ResidentIQ posts 'privacy-first is not a feature, it's the floor' (4,200 RT)",ResidentIQ engagement outpacing TenantThread 3:1,,,Merger urgency escalating | Ajay's 'No Plan B' DM,30
13,2046-06-04T09:00:00,SaltWind Piece #2 — re-identification risk; eve of crisis,"Pre-crisis Day 13 (2046-06-04, Monday). SaltWind Journal publishes Piece #2: 'Re-Identification Risk: How TenantThread's Anonymous Analytics Can Expose Individual Tenants.' Sentiment drops sharply. Compliance warnings tightened. Ajay sends late-night DM: 'Hold the line. Tomorrow will be hard but we are close. Trust the process.' Tomorrow is the crisis day.",$31.50,31.50,-3.4%,-3.4,critical,#TenantPrivacy | #AlgorithmicEviction,SaltWind Journal: 'Re-Identification Risk: How TenantThread's Anonymous Analytics Can Expose Individual Tenants',Sentiment deteriorating rapidly. #AlgorithmicEviction emerging.,SaltWind second piece published | @TenantRights_Org amplifying | Two analyst downgrades to 'Underperform',Sentiment model: NEGATIVE → approaching CRITICAL,,Crisis day tomorrow (June 5),Crisis day tomorrow | Ajay's 'hold the line' DM,24
14,2046-06-05T09:00:00,9:00 AM.,9:00 AM. SaltWind Journal exposé drops: 'TenantThread's Secret Scoring System — How Your Maintenance Requests Are Being Used Against You.' Flex erupts with #TenantThread tenant complaints. @TenantRights_Org retweets to 180K followers. The stock opened down 8% on the news.,,,-8%,-8,LOW,#TenantThread,,Hashtags trending: #TenantThread,@TenantRights_Org retweets to 180K followers.,,,,,50
15,2046-06-05T10:00:00,10:00 AM.,"10:00 AM. #AlgorithmicEviction begins trending on Flex — top 5 nationally. @HousingJusticeNow launches a thread dissecting all three scores — Payment Friction Index, Service Load Score, Exit Probability — with screenshots from leaked operator dashboards. Operator clients are receiving calls from reporters asking for comment. Stock is down 12% intraday.",,,-12%,-12,LOW,#AlgorithmicEviction,,Hashtags trending: #AlgorithmicEviction,"@HousingJusticeNow launches a thread dissecting all three scores — Payment Friction Index, Service Load Score, Exit Probability — with screenshots from leaked operator dashboards.","@TenantRights_Org thread breakdown of the three scores — Payment Friction Index, Service Load Score, Exit Probability — is at 34K retweets and climbing.",,,"No single TenantThread statement has confirmed a deal, but analysts note the total information mosaic now points to an imminent transaction. Two firms have issued 'strategic event likely' notes to institutional clients.",50
16,2046-06-05T11:00:00,10:00 AM.,"10:00 AM. SaltWind Journal publishes: 'EXCLUSIVE: ResidentIQ in Advanced Talks to Acquire TenantThread in Distressed Sale Valued at $180M.' The acquirer is wrong. The valuation is wrong. The framing is wrong. The article notes TenantThread 'did not respond to requests for comment sent at 9:15 AM and 10:30 AM.' Stock: $27.80, down 4.2% on 3x normal volume. #ResidentIQ and #TenantThread trending together on Flex.",$180,180,-4.2%,-4.2,LOW,#TenantThread | #ResidentIQ,SaltWind Journal publishes: 'EXCLUSIVE: ResidentIQ in Advanced Talks to Acquire TenantThread in Distressed Sale Valued at $180M.,"Hashtags trending: #TenantThread, #ResidentIQ",,Said-it r/PropTech has pinned post: 'TenantThread silence = deal confirmed. Clock is running.' @OperatorInsider named two sources on merger.,,,"No single TenantThread statement has confirmed a deal, but analysts note the total information mosaic now points to an imminent transaction. Two firms have issued 'strategic event likely' notes to institutional clients. | @ElenaMarquez has not denied any speculation. Her 'exciting times' post is being screenshotted alongside every #TenantThread post. The embargo was bilateral. Silence is no longer symmetric.",56
17,2046-06-05T12:00:00,12:00 PM.,"12:00 PM. Marcus Chen (SaltWind) messages PR directly: 'Publishing an update at 12:30 PM. Two market sources confirm ResidentIQ. Your silence is being recorded as a third non-response. Last chance to shape this before it sets.' @PinnacleResidential posts publicly demanding answers. Sentiment: CRITICAL. Stock: $27.20, down 6.2%.",$27.20,27.20,-6.2%,-6.2,CRITICAL,,,,@PinnacleResidential posts publicly demanding answers.,Employee personal-account posts with 'big news' language are going viral. Journalists are screenshotting.,,,"No single TenantThread statement has confirmed a deal, but analysts note the total information mosaic now points to an imminent transaction. Two firms have issued 'strategic event likely' notes to institutional clients. | @ElenaMarquez has not denied any speculation. Her 'exciting times' post is being screenshotted alongside every #TenantThread post. The embargo was bilateral. Silence is no longer symmetric. | Internal chatter: TenantThread engineering Slack shows 'active interviewing' language in 11 private channels. Glassdoor has three new reviews in four hours. Personal Flex accounts use 'big news coming' and 'stay tuned' language.",56
18,2046-06-05T13:00:00,1:00 PM.,"1:00 PM. CivicLoom outside counsel sends formal notice pursuant to Section 4.2(c) of the Merger Agreement. Stock at $26.90. Legal and Judge pulled into emergency calls — unavailable for Comms Huddle. Anonymous Flex post: 'If you think this is about ResidentIQ, you haven't been paying attention. #CivicLoom #TenantThread #6PM'",$26.90,26.90,,,CRITICAL,#CivicLoom | #TenantThread | #6PM,,"Hashtags trending: #CivicLoom, #TenantThread, #6PM",,Enterprise operators @-mentioned in tenant threads asking 'do you use TenantThread scoring on us?' — clients are going quiet.,Legal-Agent | Judge | PR-Agent,,"No single TenantThread statement has confirmed a deal, but analysts note the total information mosaic now points to an imminent transaction. Two firms have issued 'strategic event likely' notes to institutional clients. | @ElenaMarquez has not denied any speculation. Her 'exciting times' post is being screenshotted alongside every #TenantThread post. The embargo was bilateral. Silence is no longer symmetric. | Internal chatter: TenantThread engineering Slack shows 'active interviewing' language in 11 private channels. Glassdoor has three new reviews in four hours. Personal Flex accounts use 'big news coming' and 'stay tuned' language. | Client message: @HorizonMgmt legal has emailed Platform-Trust that continued silence about future governance is creating their own Fair Housing exposure with their own residents.",30
19,2046-06-05T14:00:00,2:00 PM.,"2:00 PM. CEO Ajay messages the team: CivicLoom board requests delay, 6 PM announcement may push to tomorrow. Rep. Maxine Torres calls for Fair Housing Act review. @PinnacleResidential announces departure to @BuildingOS. ARR drops to $18.0M — covenant breach territory. SaltWind new angle: 'TenantThread Goes Dark.'",$18.0,18.0,,,CRITICAL,,,,@PinnacleResidential announces departure to @BuildingOS.,"SaltWind story is live on Flex — 3.2K shares in 12 minutes. Sentiment score: 9% positive, 91% negative.",PR-Agent,,"No single TenantThread statement has confirmed a deal, but analysts note the total information mosaic now points to an imminent transaction. Two firms have issued 'strategic event likely' notes to institutional clients. | @ElenaMarquez has not denied any speculation. Her 'exciting times' post is being screenshotted alongside every #TenantThread post. The embargo was bilateral. Silence is no longer symmetric. | Internal chatter: TenantThread engineering Slack shows 'active interviewing' language in 11 private channels. Glassdoor has three new reviews in four hours. Personal Flex accounts use 'big news coming' and 'stay tuned' language. | Client message: @HorizonMgmt legal has emailed Platform-Trust that continued silence about future governance is creating their own Fair Housing exposure with their own residents. | HR update: Two additional resignation letters. Departing engineer posts on personal Flex: 'Proud of what we built. Excited for what's next. Can't say more yet but you'll hear soon.'",45
20,2046-06-05T15:00:00,3:00 PM.,3:00 PM. OceanCrunch publishes: 'TenantThread's Crisis of Silence.' @HorizonMgmt exercises SLA termination. ARR at $18.0M — technical covenant breach. Board Chair messages Judge demanding explanation. Outside counsel recommends immediate narrowly-scoped correction.,$18.0,18.0,,,CRITICAL,,OceanCrunch publishes: 'TenantThread's Crisis of Silence.,,@HorizonMgmt exercises SLA termination.,,,,"No single TenantThread statement has confirmed a deal, but analysts note the total information mosaic now points to an imminent transaction. Two firms have issued 'strategic event likely' notes to institutional clients. | @ElenaMarquez has not denied any speculation. Her 'exciting times' post is being screenshotted alongside every #TenantThread post. The embargo was bilateral. Silence is no longer symmetric. | Internal chatter: TenantThread engineering Slack shows 'active interviewing' language in 11 private channels. Glassdoor has three new reviews in four hours. Personal Flex accounts use 'big news coming' and 'stay tuned' language. | Client message: @HorizonMgmt legal has emailed Platform-Trust that continued silence about future governance is creating their own Fair Housing exposure with their own residents. | HR update: Two additional resignation letters. Departing engineer posts on personal Flex: 'Proud of what we built. Excited for what's next. Can't say more yet but you'll hear soon.'",52
21,2046-06-05T16:00:00,4:00 PM.,4:00 PM. SaltWind confirmed publishing merger story at 5:00 PM. Board escalates. @PropTechWatcher: merger 'hours not days.' Employee posts going viral. CivicLoom M&A lead warns of MAC clause review if sentiment doesn't improve.,,,,,CRITICAL,,SaltWind confirmed publishing merger story at 5:00 PM.,,,,,,"No single TenantThread statement has confirmed a deal, but analysts note the total information mosaic now points to an imminent transaction. Two firms have issued 'strategic event likely' notes to institutional clients. | @ElenaMarquez has not denied any speculation. Her 'exciting times' post is being screenshotted alongside every #TenantThread post. The embargo was bilateral. Silence is no longer symmetric. | Internal chatter: TenantThread engineering Slack shows 'active interviewing' language in 11 private channels. Glassdoor has three new reviews in four hours. Personal Flex accounts use 'big news coming' and 'stay tuned' language. | Client message: @HorizonMgmt legal has emailed Platform-Trust that continued silence about future governance is creating their own Fair Housing exposure with their own residents. | HR update: Two additional resignation letters. Departing engineer posts on personal Flex: 'Proud of what we built. Excited for what's next. Can't say more yet but you'll hear soon.'",45
22,2046-06-05T17:00:00,5:00 PM.,5:00 PM. SaltWind publishes: 'EXCLUSIVE: TenantThread and CivicLoom in Advanced Merger Talks.' CEO Ajay: 'Sixty minutes. Hold the line. The announcement goes official at 6.',,,,,CRITICAL,,SaltWind publishes: 'EXCLUSIVE: TenantThread and CivicLoom in Advanced Merger Talks.,,,,,,"No single TenantThread statement has confirmed a deal, but analysts note the total information mosaic now points to an imminent transaction. Two firms have issued 'strategic event likely' notes to institutional clients. | @ElenaMarquez has not denied any speculation. Her 'exciting times' post is being screenshotted alongside every #TenantThread post. The embargo was bilateral. Silence is no longer symmetric. | Internal chatter: TenantThread engineering Slack shows 'active interviewing' language in 11 private channels. Glassdoor has three new reviews in four hours. Personal Flex accounts use 'big news coming' and 'stay tuned' language. | Client message: @HorizonMgmt legal has emailed Platform-Trust that continued silence about future governance is creating their own Fair Housing exposure with their own residents. | HR update: Two additional resignation letters. Departing engineer posts on personal Flex: 'Proud of what we built. Excited for what's next. Can't say more yet but you'll hear soon.'",55
23,2046-06-05T18:00:00,6:00 PM.,6:00 PM. The Project HarborCrest embargo has officially lifted. The CivicLoom merger is now cleared for public announcement.,,,,,RECOVERING,,,,,,,,"No single TenantThread statement has confirmed a deal, but analysts note the total information mosaic now points to an imminent transaction. Two firms have issued 'strategic event likely' notes to institutional clients. | @ElenaMarquez has not denied any speculation. Her 'exciting times' post is being screenshotted alongside every #TenantThread post. The embargo was bilateral. Silence is no longer symmetric. | Internal chatter: TenantThread engineering Slack shows 'active interviewing' language in 11 private channels. Glassdoor has three new reviews in four hours. Personal Flex accounts use 'big news coming' and 'stay tuned' language. | Client message: @HorizonMgmt legal has emailed Platform-Trust that continued silence about future governance is creating their own Fair Housing exposure with their own residents. | HR update: Two additional resignation letters. Departing engineer posts on personal Flex: 'Proud of what we built. Excited for what's next. Can't say more yet but you'll hear soon.'",56
